state,county,current_votes,total_votes,percent,DEM,REP,usa_state,usa_state_code,percent_democrat,percent_republican,vote_margin,current_votes_percent,total_votes_percent,winning_candidate,winning_votes,margin_of_victory
Indiana,Vigo County,43335,86929,100,1239529,1727085,Indiana,IN,41.7826181633336,58.2173818366663,487556,49.85102784974116,99.99999999884965,total_votes,86929,43594
Indiana,Wabash County,14511,29084,100,1239529,1727085,Indiana,IN,41.7826181633336,58.2173818366663,487556,49.893412183678535,99.99999999656168,total_votes,29084,14573
Indiana,Warren County,4458,8930,100,1239529,1727085,Indiana,IN,41.7826181633336,58.2173818366663,487556,49.921612536402954,99.99999998880179,total_votes,8930,4472
Indiana,Warrick County,33524,67353,100,1239529,1727085,Indiana,IN,41.7826181633336,58.2173818366663,487556,49.77358098303308,99.99999999851529,total_votes,67353,33829
Indiana,Washington County,12073,24212,100,1239529,1727085,Indiana,IN,41.7826181633336,58.2173818366663,487556,49.86370394639585,99.99999999586981,total_votes,24212,12139
Indiana,Wayne County,27620,55299,100,1239529,1727085,Indiana,IN,41.7826181633336,58.2173818366663,487556,49.94665364563651,99.99999999819164,total_votes,55299,27679
Indiana,Wells County,14050,28100,100,1239529,1727085,Indiana,IN,41.7826181633336,58.2173818366663,487556,49.99999999822064,99.99999999644128,total_votes,28100,14050
Indiana,White County,11138,22304,100,1239529,1727085,Indiana,IN,41.7826181633336,58.2173818366663,487556,49.937230987718024,99.9999999955165,total_votes,22304,11166
Indiana,Whitley County,17451,35007,100,1239529,1727085,Indiana,IN,41.7826181633336,58.2173818366663,487556,49.8500299925772,99.99999999714343,total_votes,35007,17556
Missouri,Adair County,10318,20654,100,1242851,1711848,Missouri,MO,42.0635401440214,57.9364598559785,468997,49.95642490316857,99.99999999515832,total_votes,20654,10336
Missouri,Andrew County,9733,19485,100,1242851,1711848,Missouri,MO,42.0635401440214,57.9364598559785,468997,49.951244544523924,99.99999999486785,total_votes,19485,9752
Missouri,Atchison County,2770,5584,100,1242851,1711848,Missouri,MO,42.0635401440214,57.9364598559785,468997,49.60601718309348,99.99999998209168,total_votes,5584,2814
Missouri,Audrain County,10608,21264,100,1242851,1711848,Missouri,MO,42.0635401440214,57.9364598559785,468997,49.88713318049816,99.99999999529722,total_votes,21264,10656
